Checkpoint,Avg Levenshtein,Avg ROUGE-1,Avg ROUGE-2,Avg ROUGE-L
models/model_lr_0.03.pth,82.125,0.1474805918581736,0.027840651793784095,0.12407684043718081
models/model_lr_0.003.pth,81.75,0.1859670241723205,0.037702697701536225,0.15182876659656294
models/model_lr_0.0003.pth,82.375,0.14971774300455404,0.025148249881064236,0.11480840735779732
models/model_lr_0.00003.pth,83.375,0.1614857501598586,0.025407394118491675,0.12440675257732052
models/model_bs_64.pth,84.125,0.16885710200942178,0.030635779883617903,0.12685877965010808
models/model_bs_128.pth,81.375,0.16332420610924378,0.0250457962693852,0.12458638519591538
models/model_iters_500.pth,82.4375,0.15437361459801352,0.025442761086637154,0.11333030368919965
models/model_iters_1000.pth,80.8125,0.176883226626497,0.025224469391736823,0.12676221496018178
models/model_iters_2000.pth,83.0625,0.16971535791937803,0.025795386141426735,0.13590591625414894
models/model_iters_3000.pth,81.375,0.1780623508203233,0.038071685530843405,0.13565676789749903
models/model_iters_4000.pth,82.5,0.14442333211463065,0.02967372153448796,0.11829749036378895
models/model_iters_5000.pth,81.1875,0.15287879820069794,0.025542883958547993,0.12161283985033575
models/model_iters_10000.pth,82.0,0.16501310790789436,0.026564741041795813,0.12623789998641283
models/model_heads_4.pth,84.625,0.1637083645903099,0.029054612455854435,0.12504830911384648
models/model_heads_6.pth,82.5625,0.14774773540197106,0.025338612510413232,0.1182478774298226
models/model_heads_8.pth,81.8125,0.17815273125654044,0.025452502673838775,0.1450256010245379
models/model_layers_4.pth,82.3125,0.1694247854009921,0.03245598038049826,0.13028064354058821
models/model_layers_6.pth,82.375,0.1683107060055914,0.025077617116068315,0.13236025135295296
models/model_layers_8.pth,83.3125,0.15010658782544697,0.025177432704527568,0.12464238540284876
models/model_tokenizer_gpt2.pth,83.0625,0.15797440852517297,0.025255670826936638,0.12836347258205788
